9999 - 19-10-2024 09:04:34 AM | Saturday | Identity Invalid
111 - 19-10-2024 09:04:54 AM | Saturday | Identity valid
111 - 19-10-2024 09:05:07 AM | Saturday | Add - mango
111 - 19-10-2024 09:05:48 AM | Saturday | Read
111 - 19-10-2024 09:06:02 AM | Saturday | Update - mango
111 - 19-10-2024 09:06:32 AM | Saturday | Exit
111 - 19-10-2024 09:07:33 AM | Saturday | Identity valid
222 - 19-10-2024 09:07:37 AM | Saturday | Identity valid
222 - 19-10-2024 09:07:46 AM | Saturday | Exit
111 - 19-10-2024 09:08:00 AM | Saturday | Remove - mango
111 - 19-10-2024 09:08:17 AM | Saturday | Exit
555 - 20-10-2024 09:09:22 AM | Sunday | Identity valid
555 - 20-10-2024 09:09:33 AM | Sunday | Add - chiku
555 - 20-10-2024 09:11:26 AM | Sunday | Exit
